,File ID,English_name,Vocalization_type,Quality,Time,Date,X,Y
0,402254,Rose-crested Blue Pipit,call,no score,13:30,2/8/2018,98,63
1,406171,Rose-crested Blue Pipit,call,A,7:48,6/7/2017,250,133
2,405901,Rose-crested Blue Pipit,call,A,12:00,2/8/2018,116,76
3,405548,Rose-crested Blue Pipit,song,A,11:00,3/10/2018,110,125
4,401782,Rose-crested Blue Pipit,song,A,6:00,6/29/2008,258,123
5,401720,Rose-crested Blue Pipit,call,A,13:00,12/28/2016,264,121
6,401719,Rose-crested Blue Pipit,call,A,13:00,12/28/2016,212,107
7,387404,Rose-crested Blue Pipit,call,A,10:00,9/18/2017,298,115
8,377874,Rose-crested Blue Pipit,song,A,7:43,6/11/2000,268,118
9,368493,Rose-crested Blue Pipit,call,A,12:47,3/13/2017,178,131
10,368492,Rose-crested Blue Pipit,call,A,12:45,3/13/2017,282,124
11,364567,Rose-crested Blue Pipit,song,A,7:00,4/14/2017,248,121
12,353709,Rose-crested Blue Pipit,call,A,?,10/8/2016,254,119
13,351273,Rose-crested Blue Pipit,call,A,13:00,1/17/2017,292,114
14,299736,Rose-crested Blue Pipit,call,A,8:29,5/31/2015,262,133
15,298739,Rose-crested Blue Pipit,call,A,15:00,1/9/2016,248,116
16,293916,Rose-crested Blue Pipit,call,A,9:01,6/5/2015,294,117
17,293914,Rose-crested Blue Pipit,song,A,7:19,6/5/2015,284,114
18,277989,Rose-crested Blue Pipit,song,A,20:31,5/26/2015,318,117
19,277952,Rose-crested Blue Pipit,song,A,15:34,5/26/2015,256,116
20,233383,Rose-crested Blue Pipit,call,A,11:19,3/15/2015,284,114
21,225347,Rose-crested Blue Pipit,call,A,7:23,3/15/2015,326,117
22,181907,Rose-crested Blue Pipit,call,A,17:00,3/13/2014,246,110
23,176636,Rose-crested Blue Pipit,song,A,7:40,6/6/2013,242,132
24,164501,Rose-crested Blue Pipit,song,A,17:30,5/3/1993,262,120
25,164204,Rose-crested Blue Pipit,song,A,6:00,4/30/2012,302,154
26,163385,Rose-crested Blue Pipit,call,A,15:27,1/5/2014,304,154
27,162569,Rose-crested Blue Pipit,call,A,6:00,5/26/2013,150,142
28,162567,Rose-crested Blue Pipit,call,A,17:50,5/25/2013,68,134
29,162566,Rose-crested Blue Pipit,call,A,21:18,5/25/2013,284,121
30,162564,Rose-crested Blue Pipit,song,A,21:53,5/25/2013,70,145
31,162563,Rose-crested Blue Pipit,song,A,21:05,5/25/2013,232,108
32,152971,Rose-crested Blue Pipit,song,A,6:00,6/28/2008,156,82
33,139528,Rose-crested Blue Pipit,song,A,8:00,5/30/2009,268,144
34,138985,Rose-crested Blue Pipit,song,A,?,6/18/2004,76,139
35,134557,Rose-crested Blue Pipit,song,A,11:30,5/8/2000,78,61
36,120731,Rose-crested Blue Pipit,call,A,6:00,7/21/2005,254,117
37,118322,Rose-crested Blue Pipit,call,A,15:00,1/15/2013,280,149
38,118321,Rose-crested Blue Pipit,call,A,15:20,1/15/2013,304,154
39,118320,Rose-crested Blue Pipit,call,A,15:00,1/15/2013,254,113
40,111775,Rose-crested Blue Pipit,call,A,13.5,10/22/2012,258,112
41,110765,Rose-crested Blue Pipit,song,A,8:30,5/29/2012,292,111
42,106772,Rose-crested Blue Pipit,call,A,6:35,6/29/2012,298,151
43,105151,Rose-crested Blue Pipit,song,A,5:56,6/16/2012,254,118
44,89862,Rose-crested Blue Pipit,Song,A,6:15,4/28/1996,294,154
45,70544,Rose-crested Blue Pipit,call,A,am,2/28/2010,298,154
46,70543,Rose-crested Blue Pipit,call,A,am,2/28/2010,300,160
47,41283,Rose-crested Blue Pipit,call,A,11:00,10/12/2009,274,99
48,35964,Rose-crested Blue Pipit,call,A,15:30,9/30/2008,284,164
49,30397,Rose-crested Blue Pipit,song,A,8:00,2/22/2009,250,121
50,14877,Rose-crested Blue Pipit,song,A,5:35,7/1/2007,254,167
51,12122,Rose-crested Blue Pipit,song,A,6:00,4/7/2007,332,153
52,387405,Rose-crested Blue Pipit,call,B,10:00,9/18/2017,250,104
53,387403,Rose-crested Blue Pipit,call,B,10:00,9/18/2017,260,107
54,383970,Rose-crested Blue Pipit,song,B,?,5/13/2015,256,121
55,383446,Rose-crested Blue Pipit,call,B,9:30,8/18/2017,260,108
56,378584,Rose-crested Blue Pipit,song,B,15:00,7/1/2017,150,103
57,362922,Rose-crested Blue Pipit,call,B,6:12,4/25/2015,316,105
58,354538,Rose-crested Blue Pipit,call,B,8:10,2/5/2017,288,110
59,349700,Rose-crested Blue Pipit,call,B,11:00,12/28/2016,340,110
60,345802,Rose-crested Blue Pipit,song,B,8:04,4/8/2015,298,114
61,345801,Rose-crested Blue Pipit,call,B,6:45,8/10/2015,248,117
62,345797,Rose-crested Blue Pipit,call,B,6:43,8/10/2015,316,107
63,345796,Rose-crested Blue Pipit,call,B,14:39,1/3/2016,304,122
64,345795,Rose-crested Blue Pipit,call,B,7:52,10/24/2015,286,106
65,345564,Rose-crested Blue Pipit,call,B,14:45,1/3/2016,298,117
66,345563,Rose-crested Blue Pipit,call,B,14:18,1/3/2016,256,118
67,345562,Rose-crested Blue Pipit,call,B,8:53,3/31/2015,314,124
68,345561,Rose-crested Blue Pipit,call,B,13:01,12/25/2015,220,120
69,345560,Rose-crested Blue Pipit,call,B,11:41,12/25/2015,308,127
70,345559,Rose-crested Blue Pipit,call,B,11:40,12/25/2015,170,134
71,345558,Rose-crested Blue Pipit,call,B,11:40,12/25/2015,300,110
72,345557,Rose-crested Blue Pipit,call,B,11:39,12/25/2015,306,113
73,345556,Rose-crested Blue Pipit,call,B,7:44,8/10/2015,304,121
74,345555,Rose-crested Blue Pipit,call,B,7:32,8/10/2015,52,133
75,345554,Rose-crested Blue Pipit,song,B,8:59,8/9/2015,94,58
76,345553,Rose-crested Blue Pipit,song,B,9:38,4/20/2015,266,116
77,345552,Rose-crested Blue Pipit,song,B,9:34,4/20/2015,270,118
78,345550,Rose-crested Blue Pipit,call,B,14:39,1/3/2016,124,67
79,344091,Rose-crested Blue Pipit,song,B,7:00,5/26/2007,278,148
80,344090,Rose-crested Blue Pipit,song,B,7:00,6/1/2015,294,119
81,342729,Rose-crested Blue Pipit,call,B,10:35,11/13/2016,232,132
82,342417,Rose-crested Blue Pipit,call,B,10:00,11/11/2016,272,130
83,339833,Rose-crested Blue Pipit,call,B,12:30,10/23/2016,298,118
84,339832,Rose-crested Blue Pipit,call,B,12:30,10/23/2016,298,111
85,324018,Rose-crested Blue Pipit,song,B,7:30,6/9/2016,300,120
86,320496,Rose-crested Blue Pipit,song,B,10:30,4/14/2016,238,121
87,314104,Rose-crested Blue Pipit,song,B,12:30,4/28/2016,256,116
88,313778,Rose-crested Blue Pipit,song,B,11:45,4/24/2016,260,122
89,313073,Rose-crested Blue Pipit,call,B,10:29,4/14/2016,266,120
90,312968,Rose-crested Blue Pipit,call,B,7:12,4/19/2016,142,93
91,312965,Rose-crested Blue Pipit,call,B,7:11,4/19/2016,250,117
92,306344,Rose-crested Blue Pipit,song,B,19:00,3/6/2016,318,129
93,306343,Rose-crested Blue Pipit,call,B,19:00,3/6/2016,222,115
94,305761,Rose-crested Blue Pipit,song,B,10:30,2/28/2016,242,116
95,304180,Rose-crested Blue Pipit,song,B,18:04,2/20/2016,142,138
96,293918,Rose-crested Blue Pipit,"call, song",B,6:45,6/5/2015,218,114
97,293913,Rose-crested Blue Pipit,call,B,7:00,6/5/2015,90,64
98,291662,Rose-crested Blue Pipit,call,B,12:39,11/23/2015,304,119
99,291091,Rose-crested Blue Pipit,call,B,13:50,5/16/2015,268,123
100,291090,Rose-crested Blue Pipit,call,B,13:25,5/16/2015,274,109
101,278041,Rose-crested Blue Pipit,call,B,15:37,5/26/2015,132,81
102,277999,Rose-crested Blue Pipit,song,B,8:25,5/3/2015,246,129
103,261402,Rose-crested Blue Pipit,call,B,11:30,7/18/2015,294,121
104,256362,Rose-crested Blue Pipit,call,B,9:30,2/11/2015,274,138
105,255560,Rose-crested Blue Pipit,call,B,7:50,3/10/2015,230,129
106,233386,Rose-crested Blue Pipit,song,B,11:35,3/15/2015,260,114
107,233384,Rose-crested Blue Pipit,song,B,11:29,3/15/2015,240,118
108,232913,Rose-crested Blue Pipit,call,B,?,1/30/2010,252,109
109,216670,Rose-crested Blue Pipit,"call, song",B,8:00,4/19/2009,272,166
110,200110,Rose-crested Blue Pipit,call,B,9:28,10/25/2014,82,123
111,191515,Rose-crested Blue Pipit,song,B,8:00,7/6/2014,250,110
112,191476,Rose-crested Blue Pipit,song,B,8:30,7/3/2014,270,106
113,191418,Rose-crested Blue Pipit,song,B,9:00,7/2/2014,272,126
114,191417,Rose-crested Blue Pipit,call,B,9:00,7/2/2014,296,147
115,191416,Rose-crested Blue Pipit,call,B,9:00,7/2/2014,254,116
116,191415,Rose-crested Blue Pipit,call,B,9:00,7/2/2014,296,159
117,182666,Rose-crested Blue Pipit,call,B,7:30,4/29/2014,256,119
118,172485,Rose-crested Blue Pipit,song,B,20:50,5/8/2013,276,150
119,171853,Rose-crested Blue Pipit,song,B,6:00,5/28/2010,296,151
120,164634,Rose-crested Blue Pipit,call,B,9:00,1/12/2014,296,156
121,164631,Rose-crested Blue Pipit,call,B,9:00,1/12/2014,284,150
